,0,1,2,3,4,5,6,7,8
189,Life of Pi,(2012),PG,127 min,"
Adventure, Drama, Fantasy            ","501,484",$124.99M,7.9,79        
190,The Fault in Our Stars,(2014),PG-13,126 min,"
Drama, Romance            ","292,819",$124.87M,7.8,69        
191,Rango,(2011),PG,107 min,"
Animation, Adventure, Comedy            ","204,638",$123.48M,7.2,75        
192,The Good Dinosaur,(2015),PG,93 min,"
Animation, Adventure, Comedy            ","85,121",$123.09M,6.7,66        
193,G.I. Joe: Retaliation,(2013),PG-13,110 min,"
Action, Adventure, Sci-Fi            ","158,027",$122.52M,5.8,41        
194,Cloudy with a Chance of Meatballs 2,(2013),PG,95 min,"
Animation, Action, Adventure            ","74,694",$119.79M,6.4,59        
195,The Other Guys,(2010),PG-13,107 min,"
Action, Comedy, Crime            ","210,309",$119.22M,6.7,64        
196,Salt,(2010),PG-13,100 min,"
Action, Crime, Mystery            ","266,260",$118.31M,6.4,65        
197,Now You See Me,(I) (2013),PG-13,115 min,"
Crime, Mystery, Thriller            ","522,761",$117.72M,7.3,50        
198,Horrible Bosses,(2011),R,98 min,"
Comedy, Crime            ","383,406",$117.54M,6.9,57        
199,The Wolf of Wall Street,(2013),R,180 min,"
Biography, Comedy, Crime            ","947,312",$116.90M,8.2,75        
200,The Butler,(I) (2013),PG-13,132 min,"
Biography, Drama            ","97,612",$116.63M,7.2,66        
201,Green Lantern,(2011),PG-13,114 min,"
Action, Adventure, Sci-Fi            ","241,524",$116.60M,5.6,39        
202,Unbroken,(I) (2014),PG-13,137 min,"
Biography, Drama, Sport            ","122,962",$115.64M,7.2,59        
203,Girls Trip,(2017),R,122 min,"
Comedy            ","22,201",$115.11M,6.3,71        
204,Fifty Shades Darker,(2017),R,118 min,"
Drama, Romance            ","71,014",$114.38M,4.6,33        
205,Night at the Museum: Secret of the Tomb,(2014),PG,98 min,"
Adventure, Comedy, Family            ","82,932",$113.75M,6.2,47        
206,Magic Mike,(2012),R,110 min,"
Comedy, Drama            ","118,726",$113.72M,6.1,72        
207,Bad Moms,(2016),R,100 min,"
Comedy            ","89,404",$113.26M,6.2,60        
208,The Bourne Legacy,(2012),PG-13,135 min,"
Action, Adventure, Mystery            ","256,884",$113.20M,6.7,61        
209,The Hangover Part III,(2013),R,100 min,"
Comedy, Crime            ","253,936",$112.20M,5.9,30        
210,Mr. Peabody & Sherman,(2014),PG,92 min,"
Animation, Adventure, Comedy            ","54,204",$111.51M,6.8,59        
211,Spy,(2015),R,119 min,"
Action, Comedy, Crime            ","201,655",$110.83M,7.0,75        
212,Valentine's Day,(I) (2010),PG-13,125 min,"
Comedy, Romance            ","102,816",$110.49M,5.7,34        
213,Trainwreck,(2015),R,125 min,"
Comedy, Drama, Romance            ","115,166",$110.21M,6.2,75        
214,Creed,(2015),PG-13,133 min,"
Drama, Sport            ","195,143",$109.77M,7.6,82        
215,Hop,(2011),PG,95 min,"
Animation, Adventure, Comedy            ","27,157",$108.09M,5.5,41        
216,Baby Driver,(2017),R,112 min,"
Action, Crime, Music            ","294,325",$107.83M,7.7,86        
217,Epic,(2013),PG,102 min,"
Animation, Adventure, Family            ","92,302",$107.52M,6.7,52        
218,Angry Birds,(2016),PG,97 min,"
Animation, Action, Adventure            ","63,960",$107.51M,6.3,43        
219,Captain Phillips,(2013),PG-13,134 min,"
Biography, Drama, Thriller            ","366,817",$107.10M,7.8,83        
220,Black Swan,(2010),R,108 min,"
Drama, Thriller            ","613,310",$106.95M,8.0,79        
221,300: Rise of an Empire,(2014),R,102 min,"
Action, Fantasy            ","250,122",$106.58M,6.2,48        
222,Robin Hood,(2010),PG-13,140 min,"
Action, Adventure, Drama            ","230,044",$105.27M,6.7,53        
223,Pitch Perfect 3,(2017),PG-13,93 min,"
Comedy, Music            ","27,243",$104.90M,5.9,40        
224,The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),PG,113 min,"
Adventure, Family, Fantasy            ","120,613",$104.39M,6.3,53        
225,Daddy's Home 2,(2017),PG-13,100 min,"
Comedy            ","30,785",$104.03M,6.0,30        
226,Paranormal Activity 3,(2011),R,83 min,"
Horror            ","82,735",$104.01M,5.8,59        
227,Journey 2: The Mysterious Island,(2012),PG,94 min,"
Action, Adventure, Comedy            ","77,398",$103.86M,5.8,41        
228,Rise of the Guardians,(2012),PG,97 min,"
Animation, Adventure, Family            ","137,787",$103.41M,7.3,57        
229,Independence Day: Resurgence,(2016),PG-13,120 min,"
Action, Adventure, Sci-Fi            ","144,438",$103.14M,5.2,32        
230,The Expendables,(2010),R,103 min,"
Action, Adventure, Thriller            ","295,409",$103.07M,6.5,45        
231,Just Go with It,(2011),PG-13,117 min,"
Comedy, Romance            ","191,195",$103.03M,6.4,33        
232,Murder on the Orient Express,(2017),PG-13,114 min,"
Crime, Drama, Mystery            ","132,748",$102.83M,6.6,52        
233,The Girl with the Dragon Tattoo,(2011),R,158 min,"
Crime, Drama, Mystery            ","367,636",$102.52M,7.8,71        
234,The Conjuring 2,(2016),R,134 min,"
Horror, Mystery, Thriller            ","165,572",$102.47M,7.4,65        
235,The Maze Runner,(2014),PG-13,113 min,"
Action, Mystery, Sci-Fi            ","364,063",$102.43M,6.8,57        
236,Annabelle: Creation,(2017),R,109 min,"
Horror, Mystery, Thriller            ","68,574",$102.09M,6.6,62        
237,Bad Grandpa,(2013),R,92 min,"
Comedy            ","83,232",$102.00M,6.5,54        
238,Pacific Rim,(2013),PG-13,131 min,"
Action, Adventure, Sci-Fi            ","424,698",$101.80M,6.9,65        
239,The Equalizer,(2014),R,132 min,"
Action, Crime, Thriller            ","264,082",$101.53M,7.2,57        
240,This Is the End,(2013),R,107 min,"
Comedy, Fantasy            ","344,059",$101.47M,6.6,67        
241,Noah,(2014),PG-13,138 min,"
Action, Adventure, Drama            ","219,611",$101.20M,5.8,68        
242,Arrival,(II) (2016),PG-13,116 min,"
Drama, Mystery, Sci-Fi            ","446,258",$100.55M,7.9,81        
